account_id,transaction_id,date,time,activity,amount,category,type,vendor_name
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,54397574,2023-01-02,18:16,general_services,78.13,general_services,expense,cleaning_service
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,21247766,2023-01-03,16:49,food_and_drink,63.6,food_and_drink,expense,mcdonalds
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,77797090,2023-01-03,17:58,general_services,86.27,general_services,expense,repair_shop
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,82715931,2023-01-05,18:53,transportation,22.09,transportation,expense,taxi
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,31047165,2023-01-06,9:1,transportation,16.03,transportation,expense,taxi
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,31680783,2023-01-06,10:00,transfer_to_savings,57.15,savings,transfer,savings_account
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,83213204,2023-01-09,7:58,food_and_drink,24.43,food_and_drink,expense,local_cafe
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,80809013,2023-01-09,11:47,transportation,42.72,transportation,expense,uber
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,41946856,2023-01-09,13:53,entertainment,86.79,entertainment,expense,concert
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,83392603,2023-01-09,11:13,travel,28.18,travel,expense,local_hotel
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,23264594,2023-01-09,9:21,general_services,59.9,general_services,expense,repair_shop
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,69186919,2023-01-09,16:22,personal_care,91.42,personal_care,expense,salon
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,62632262,2023-01-10,14:15,food_and_drink,70.25,food_and_drink,expense,starbucks
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,92630159,2023-01-10,10:48,transportation,14.81,transportation,expense,lyft
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,12015888,2023-01-10,15:33,entertainment,10.83,entertainment,expense,concert
tL0R9G3sB1mZ6p8W2xQ7fV5aC4dEoH1uJkMnI,44829723,2023-01-11,7:1,transportation,13.01,transportation,expense,lyft
